"Date","Date_original","TIMESTAMP_DAY","Year","AirT","DATE","RH","VP","VP_long_term","VPD","VPD_VPlongterm","VPD_data.range","precip","NetRad","Eto","Extra_date","Month","DOY","TA_Svgt","Model.P..Richards.growth.model..4P.","Mechanistic.Growth.Model..3P.","Week","DOY_cont","ETo_mm","Ta_1_1_1","RH_1_1_1","ETo_mm_pred.VPD","ETo_mm_pred_AirT","ETo_mm.combined"
1985-01-25,"25-Jan","01/25/1985",1985,-14,"01/25/1985",66,0.3385087448,NA,0.0702067137,NA,"Bad",0,NA,NA,"",1,25,NA,0.00072665,0.14993899,4,NA,NA,NA,NA,0.183047667193472,0,0.183047667193472
1985-01-26,"26-Jan","01/26/1985",1985,-10,"01/26/1985",68,0.4676213875,NA,0.0912796948,NA,"Bad",0,NA,NA,"",1,26,NA,0.00075227,0.2074306,4,NA,NA,NA,NA,0.244305528250579,0,0.244305528250579
1985-01-27,"27-Jan","01/27/1985",1985,-3,"01/27/1985",70,0.801545659,NA,0.1466828556,NA,"Bad",1.52,NA,NA,"",1,27,NA,0.00082348,0.35292756,4,NA,NA,NA,NA,0.396962072712785,0.0133717380630933,0.396962072712785
1985-01-28,"28-Jan","01/28/1985",1985,-5,"01/28/1985",71,0.6894476442,NA,0.1219632883,NA,"Bad",0,NA,NA,"",1,28,NA,0.00079101,0.28900519,4,NA,NA,NA,NA,0.330317340962695,0,0.330317340962695
1985-01-29,"29-Jan","01/29/1985",1985,-4,"01/29/1985",80,0.743626846,NA,0.0907224752,NA,"Bad",3.71,NA,NA,"",1,29,NA,0.00075159,0.20592592,5,NA,NA,NA,NA,0.242708977574663,0,0.242708977574663
1985-01-30,"30-Jan","01/30/1985",1985,-7,"01/30/1985",77,0.5914764338,NA,0.0829841437,NA,"Bad",0,NA,NA,"",1,30,NA,0.00074209,0.18494304,5,NA,NA,NA,NA,0.220407250630809,0,0.220407250630809
1985-01-31,"31-Jan","01/31/1985",1985,-7,"01/31/1985",NA,0.5914764338,NA,NA,NA,"Bad",0,NA,NA,"",1,31,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0
1985-02-01,"1-Feb","02/01/1985",1985,-10,"02/01/1985",65,0.4676213875,NA,0.0998371662,NA,"Bad",5.2,NA,NA,"",2,32,NA,0.0007629,0.23043352,5,NA,NA,NA,NA,0.268668013471893,0,0.268668013471893
1985-02-02,"2-Feb","02/02/1985",1985,-12,"02/02/1985",63,0.3984329434,NA,0.0899263153,NA,"Bad",0.49,NA,NA,"",2,33,NA,0.0007506,0.20377458,5,NA,NA,NA,NA,0.240425641519232,0,0.240425641519232
1985-02-03,"3-Feb","02/03/1985",1985,-17,"02/03/1985",66,0.2636215605,NA,0.0546751116,NA,"Bad",0.72,NA,NA,"",2,34,NA,0.00070826,0.10678314,5,NA,NA,NA,NA,0.136722118631726,0,0.136722118631726
1985-02-04,"4-Feb","02/04/1985",1985,-21,"02/04/1985",69,0.1868563508,NA,0.0353345359,NA,"Bad",0.12,NA,NA,"",2,35,NA,0.00068594,0.05209822,5,NA,NA,NA,NA,0.077603365756104,0,0.077603365756104
1985-02-05,"5-Feb","02/05/1985",1985,-20,"02/05/1985",72,0.2038882814,NA,0.0348241185,NA,"Bad",0.12,NA,NA,"",2,36,NA,0.00068535,0.05064066,6,NA,NA,NA,NA,0.0760212849596627,0,0.0760212849596627
1985-02-06,"6-Feb","02/06/1985",1985,-9,"02/06/1985",70,0.5060656223,NA,0.0926100089,NA,"Bad",0.49,NA,NA,"",2,37,NA,0.00075392,0.21101948,6,NA,NA,NA,NA,0.248112102352951,0,0.248112102352951
1985-02-07,"7-Feb","02/07/1985",1985,-8,"02/07/1985",66,0.5472930023,NA,0.1135085687,NA,"Bad",0.95,NA,NA,"",2,38,NA,0.00078016,0.26677694,6,NA,NA,NA,NA,0.306986344619229,0,0.306986344619229
1985-02-08,"8-Feb","02/08/1985",1985,-10,"02/08/1985",66,0.4676213875,NA,0.0969846758,NA,"Bad",0.72,NA,NA,"",2,39,NA,0.00075935,0.22278774,6,NA,NA,NA,NA,0.260579732834179,0,0.260579732834179
1985-02-09,"9-Feb","02/09/1985",1985,-4,"02/09/1985",65,0.743626846,NA,0.1587643316,NA,"Bad",0,NA,NA,"",2,40,NA,0.00083977,0.38359888,6,NA,NA,NA,NA,0.428701027240095,0,0.428701027240095
1985-02-10,"10-Feb","02/10/1985",1985,-1,"02/10/1985",70,0.929495407,NA,0.1700976595,NA,"Bad",1.18,NA,NA,"",2,41,NA,0.00085531,0.41203596,6,NA,NA,NA,NA,0.457988418664276,0.118390584805177,0.457988418664276
1985-02-11,"11-Feb","02/11/1985",1985,0,"02/11/1985",69,1,NA,0.1891,NA,"Bad",0,NA,NA,"",2,42,NA,0.00088194,0.45899851,6,NA,NA,NA,NA,0.506058725427037,0.173050004743383,0.506058725427037
1985-02-12,"12-Feb","02/12/1985",1985,-7,"02/12/1985",69,0.5914764338,NA,0.1118481936,NA,"Bad",0,NA,NA,"",2,43,NA,0.00077805,0.26238954,7,NA,NA,NA,NA,0.302371829612625,0,0.302371829612625
1985-02-13,"13-Feb","02/13/1985",1985,-16,"02/13/1985",68,0.2867507225,NA,0.055973741,NA,"Bad",0,NA,NA,"",2,44,NA,0.00070978,0.11041723,7,NA,NA,NA,NA,0.140634367157314,0,0.140634367157314
1985-02-14,"14-Feb","02/14/1985",1985,-15,"02/14/1985",67,0.3116731354,NA,0.0627398022,NA,"Bad",0.12,NA,NA,"",2,45,NA,0.00071776,0.12927521,7,NA,NA,NA,NA,0.160902627716653,0,0.160902627716653
1985-02-15,"15-Feb","02/15/1985",1985,-5,"02/15/1985",68,0.6894476442,NA,0.1345801802,NA,"Bad",0,NA,NA,"",2,46,NA,0.00080744,0.32182864,7,NA,NA,NA,NA,0.364622247238494,0,0.364622247238494
1985-02-16,"16-Feb","02/16/1985",1985,-11,"02/16/1985",67,0.4317959003,NA,0.0869205147,NA,"Bad",0,NA,NA,"",2,47,NA,0.00074691,0.195637,7,NA,NA,NA,NA,0.231782118837566,0,0.231782118837566
1985-02-17,"17-Feb","02/17/1985",1985,-17,"02/17/1985",63,0.2636215605,NA,0.0594993862,NA,"Bad",0,NA,NA,"",2,48,NA,0.00071393,0.12025962,7,NA,NA,NA,NA,0.151219767761802,0,0.151219767761802
1985-02-18,"18-Feb","02/18/1985",1985,-23,"02/18/1985",63,0.1565589396,NA,0.0353353527,NA,"Bad",0,NA,NA,"",2,49,NA,0.00068594,0.05210055,7,NA,NA,NA,NA,0.0776058965852265,0,0.0776058965852265
1985-02-19,"19-Feb","02/19/1985",1985,-17,"02/19/1985",64,0.2636215605,NA,0.0578912947,NA,"Bad",0,NA,NA,"",2,50,NA,0.00071203,0.11577469,8,NA,NA,NA,NA,0.146398140317638,0,0.146398140317638
1985-02-20,"20-Feb","02/20/1985",1985,-15,"02/20/1985",68,0.3116731354,NA,0.060838596,NA,"Bad",0,NA,NA,"",2,51,NA,0.00071551,0.12398916,8,NA,NA,NA,NA,0.155226881281006,0,0.155226881281006
1985-02-21,"21-Feb","02/21/1985",1985,-16,"02/21/1985",67,0.2867507225,NA,0.0577229204,NA,"Bad",0,NA,NA,"",2,52,NA,0.00071184,0.11530468,8,NA,NA,NA,NA,0.14589266380879,0,0.14589266380879
1985-02-22,"22-Feb","02/22/1985",1985,-14,"02/22/1985",66,0.3385087448,NA,0.0702067137,NA,"Bad",0,NA,NA,"",2,53,NA,0.00072665,0.14993899,8,NA,NA,NA,NA,0.183047667193472,0,0.183047667193472
1985-02-23,"23-Feb","02/23/1985",1985,-16,"02/23/1985",69,0.2867507225,NA,0.0542245616,NA,"Bad",0,NA,NA,"",2,54,NA,0.00070773,0.10552122,8,NA,NA,NA,NA,0.135363122606531,0,0.135363122606531
1985-02-24,"24-Feb","02/24/1985",1985,-12,"02/24/1985",73,0.3984329434,NA,0.0656219058,NA,"Bad",7.62,NA,NA,"",2,55,NA,0.00072118,0.13726937,8,NA,NA,NA,NA,0.169477805444451,0,0.169477805444451
1985-02-25,"25-Feb","02/25/1985",1985,-4,"02/25/1985",78,0.743626846,NA,0.0997947227,NA,"Bad",0,NA,NA,"",2,56,NA,0.00076285,0.23031992,8,NA,NA,NA,NA,0.268547901862751,0,0.268547901862751
1985-02-26,"26-Feb","02/26/1985",1985,-9,"02/26/1985",81,0.5060656223,NA,0.0586530056,NA,"Bad",0,NA,NA,"",2,57,NA,0.00071293,0.11789998,9,NA,NA,NA,NA,0.148683378125204,0,0.148683378125204
1985-02-27,"27-Feb","02/27/1985",1985,-3,"02/27/1985",85,0.801545659,NA,0.0733414278,NA,"Bad",0,NA,NA,"",2,58,NA,0.00073041,0.15856806,9,NA,NA,NA,NA,0.192275399224128,0.0133717380630933,0.192275399224128
1985-02-28,"28-Feb","02/28/1985",1985,-6,"02/28/1985",84,0.6387976677,NA,0.0623466524,NA,"Bad",2.44,NA,NA,"",2,59,NA,0.00071729,0.12818293,9,NA,NA,NA,NA,0.159730185967175,0,0.159730185967175
1985-03-01,"1-Mar","03/01/1985",1985,-9,"03/01/1985",71,0.5060656223,NA,0.0895230086,NA,"Bad",0,NA,NA,"",3,60,NA,0.00075011,0.20268413,9,NA,NA,NA,NA,0.239268007814015,0,0.239268007814015
1985-03-02,"2-Mar","03/02/1985",1985,-5,"03/02/1985",68,0.6894476442,NA,0.1345801802,NA,"Bad",1.29,NA,NA,"",3,61,NA,0.00080744,0.32182864,9,NA,NA,NA,NA,0.364622247238494,0,0.364622247238494
1985-03-03,"3-Mar","03/03/1985",1985,-2,"03/03/1985",69,0.8634247426,NA,0.1632736188,NA,"Bad",0.83,NA,NA,"",3,62,NA,0.00084593,0.394952,9,NA,NA,NA,NA,0.440409782005142,0.0651772485660762,0.440409782005142
1985-03-04,"4-Mar","03/04/1985",1985,-12,"03/04/1985",70,0.3984329434,NA,0.0729132286,NA,"Bad",0.26,NA,NA,"",3,63,NA,0.0007299,0.15739093,9,NA,NA,NA,NA,0.191017296162047,0,0.191017296162047
1985-03-05,"5-Mar","03/05/1985",1985,-6,"03/05/1985",78,0.6387976677,NA,0.085726647,NA,"Bad",0.72,NA,NA,"",3,64,NA,0.00074545,0.19239806,10,NA,NA,NA,NA,0.228338867401198,0,0.228338867401198
1985-03-06,"6-Mar","03/06/1985",1985,-5,"03/06/1985",86,0.6894476442,NA,0.0588788288,NA,"Bad",0.72,NA,NA,"",3,65,NA,0.0007132,0.11852976,10,NA,NA,NA,NA,0.149360408673813,0,0.149360408673813
1985-03-07,"7-Mar","03/07/1985",1985,-1,"03/07/1985",86,0.929495407,NA,0.0793789078,NA,"Bad",0,NA,NA,"",3,66,NA,0.00073771,0.17511167,10,NA,NA,NA,NA,0.20993388005531,0.118390584805177,0.20993388005531
1985-03-08,"8-Mar","03/08/1985",1985,-1,"03/08/1985",87,0.929495407,NA,0.0737089858,NA,"Bad",0,NA,NA,"",3,67,NA,0.00073085,0.15957808,10,NA,NA,NA,NA,0.1933547268514,0.118390584805177,0.1933547268514
1985-03-09,"9-Mar","03/09/1985",1985,-2,"03/09/1985",84,0.8634247426,NA,0.0842702549,NA,"Bad",0.12,NA,NA,"",3,68,NA,0.00074366,0.18844165,10,NA,NA,NA,NA,0.224130632022752,0.0651772485660762,0.224130632022752
1985-03-10,"10-Mar","03/10/1985",1985,-3,"03/10/1985",85,0.801545659,NA,0.0733414278,NA,"Bad",7.85,NA,NA,"",3,69,NA,0.00073041,0.15856806,10,NA,NA,NA,NA,0.192275399224128,0.0133717380630933,0.192275399224128
1985-03-11,"11-Mar","03/11/1985",1985,-2,"03/11/1985",67,0.8634247426,NA,0.1738074007,NA,"Bad",0.35,NA,NA,"",3,70,NA,0.00086046,0.42127449,10,NA,NA,NA,NA,0.467474131202808,0.0651772485660762,0.467474131202808
1985-03-12,"12-Mar","03/12/1985",1985,-3,"03/12/1985",NA,0.801545659,NA,NA,NA,"Bad",0,NA,NA,"",3,71,NA,NA,NA,11,NA,NA,NA,NA,NA,0.0133717380630933,0.0133717380630933
1985-03-13,"13-Mar","03/13/1985",1985,-4,"03/13/1985",76,0.743626846,NA,0.1088669703,NA,"Bad",7.16,NA,NA,"",3,72,NA,0.00077427,0.2544936,11,NA,NA,NA,NA,0.294059328811,0,0.294059328811
1985-03-14,"14-Mar","03/14/1985",1985,-1,"03/14/1985",80,0.929495407,NA,0.1133984397,NA,"Bad",2.9,NA,NA,"",3,73,NA,0.00078002,0.26648616,11,NA,NA,NA,NA,0.306680607517827,0.118390584805177,0.306680607517827
1985-03-15,"15-Mar","03/15/1985",1985,-1,"03/15/1985",71,0.929495407,NA,0.1644277375,NA,"Bad",0,NA,NA,"",3,74,NA,0.00084751,0.39784953,11,NA,NA,NA,NA,0.443394638945396,0.118390584805177,0.443394638945396
1985-03-16,"16-Mar","03/16/1985",1985,-3,"03/16/1985",65,0.801545659,NA,0.1711299982,NA,"Bad",0,NA,NA,"",3,75,NA,0.00085674,0.41461028,11,NA,NA,NA,NA,0.460633052415238,0.0133717380630933,0.460633052415238
1985-03-17,"17-Mar","03/17/1985",1985,-1,"03/17/1985",69,0.929495407,NA,0.1757675815,NA,"Bad",0,NA,NA,"",3,76,NA,0.00086318,0.42614218,11,NA,NA,NA,NA,0.472466320469675,0.118390584805177,0.472466320469675
1985-03-18,"18-Mar","03/18/1985",1985,-2,"03/18/1985",58,0.8634247426,NA,0.2212094191,NA,"Bad",0,NA,NA,"",3,77,NA,0.00092859,0.53635385,11,NA,NA,NA,NA,0.584423576885185,0.0651772485660762,0.584423576885185
1985-03-19,"19-Mar","03/19/1985",1985,-2,"03/19/1985",65,0.8634247426,NA,0.1843411825,NA,"Bad",0,NA,NA,"",3,78,NA,0.0008752,0.44732115,12,NA,NA,NA,NA,0.494140597002847,0.0651772485660762,0.494140597002847
1985-03-20,"20-Mar","03/20/1985",1985,-2,"03/20/1985",64,0.8634247426,NA,0.1896080735,NA,"Bad",0,NA,NA,"",3,79,NA,0.00088266,0.46024195,12,NA,NA,NA,NA,0.507326455295936,0.0651772485660762,0.507326455295936
1985-03-21,"21-Mar","03/21/1985",1985,-1,"03/21/1985",71,0.929495407,NA,0.1644277375,NA,"Bad",0,NA,NA,"",3,80,NA,0.00084751,0.39784953,12,NA,NA,NA,NA,0.443394638945396,0.118390584805177,0.443394638945396
1985-03-22,"22-Mar","03/22/1985",1985,0,"03/22/1985",82,1,NA,0.1098,NA,"Bad",0.26,NA,NA,"",3,81,NA,0.00077545,0.25696731,12,NA,NA,NA,NA,0.296664628618979,0.173050004743383,0.296664628618979
1985-03-23,"23-Mar","03/23/1985",1985,-1,"03/23/1985",91,0.929495407,NA,0.0510292978,NA,"Bad",0,NA,NA,"",3,82,NA,0.000704,0.09655544,12,NA,NA,NA,NA,0.125700492148291,0.118390584805177,0.125700492148291
1985-03-24,"24-Mar","03/24/1985",1985,-1,"03/24/1985",67,0.929495407,NA,0.1871074254,NA,"Bad",0,NA,NA,"",3,83,NA,0.00087911,0.45411582,12,NA,NA,NA,NA,0.501078163171373,0.118390584805177,0.501078163171373
1985-03-25,"25-Mar","03/25/1985",1985,0,"03/25/1985",83,1,NA,0.1037,NA,"Bad",0.49,NA,NA,"",3,84,NA,0.00076775,0.24075271,12,NA,NA,NA,NA,0.279569558039132,0.173050004743383,0.279569558039132
1985-03-26,"26-Mar","03/26/1985",1985,0,"03/26/1985",83,1,NA,0.1037,NA,"Bad",0.72,NA,NA,"",3,85,NA,0.00076775,0.24075271,13,NA,NA,NA,NA,0.279569558039132,0.173050004743383,0.279569558039132
1985-03-27,"27-Mar","03/27/1985",1985,0,"03/27/1985",85,1,NA,0.0915,NA,"Bad",2.44,NA,NA,"",3,86,NA,0.00075255,0.20802526,13,NA,NA,NA,NA,0.24493640377256,0.173050004743383,0.24493640377256
1985-03-28,"28-Mar","03/28/1985",1985,0,"03/28/1985",86,1,NA,0.0854,NA,"Bad",4.17,NA,NA,"",3,87,NA,0.00074505,0.1915112,13,NA,NA,NA,NA,0.227395772517568,0.173050004743383,0.227395772517568
1985-03-29,"29-Mar","03/29/1985",1985,-1,"03/29/1985",84,0.929495407,NA,0.0907187517,NA,"Bad",3.48,NA,NA,"",3,88,NA,0.00075158,0.20591587,13,NA,NA,NA,NA,0.242698304760879,0.118390584805177,0.242698304760879
1985-03-30,"30-Mar","03/30/1985",1985,0,"03/30/1985",75,1,NA,0.1525,NA,"Bad",1.98,NA,NA,"",3,89,NA,0.00083129,0.36774184,13,NA,NA,NA,NA,0.412311458935148,0.173050004743383,0.412311458935148
1985-03-31,"31-Mar","03/31/1985",1985,5,"03/31/1985",77,1.4283371052,NA,0.2003956959,NA,"Bad",0.49,NA,NA,"",3,90,NA,0.00089811,0.4864948,13,NA,NA,NA,NA,0.534030766971516,0.469451769248613,0.534030766971516
1985-04-01,"1-Apr","04/01/1985",1985,7,"04/01/1985",66,1.640543366,NA,0.3402486941,NA,"Bad",0,NA,NA,"",4,91,NA,0.00112099,0.80240451,13,NA,NA,NA,NA,0.84594179014568,0.599595570683348,0.84594179014568
1985-04-02,"2-Apr","04/02/1985",1985,7,"04/02/1985",56,1.640543366,NA,0.4403218394,NA,"Bad",0,NA,NA,"",4,92,NA,0.00130885,1.00282254,14,NA,NA,NA,NA,1.03434294335917,0.599595570683348,1.03434294335917
1985-04-03,"3-Apr","04/03/1985",1985,10,"04/03/1985",41,2.0109351169,NA,0.7237355486,NA,"Bad",0,NA,NA,"",4,93,NA,0.00199735,1.47275809,14,NA,NA,NA,NA,1.44418461337546,0.808376638180562,1.44418461337546
1985-04-04,"4-Apr","04/04/1985",1985,11,"04/04/1985",44,2.1497761046,NA,0.7343635173,NA,"Bad",0,NA,NA,"",4,94,NA,0.00202834,1.48792045,14,NA,NA,NA,NA,1.45660131837598,0.881786575468631,1.45660131837598
1985-04-05,"5-Apr","04/05/1985",1985,8,"04/05/1985",52,1.7567024442,NA,0.5143624757,NA,"Bad",0,NA,NA,"",4,95,NA,0.00146499,1.13871615,14,NA,NA,NA,NA,1.15762943432177,0.667331838178703,1.15762943432177
1985-04-06,"6-Apr","04/06/1985",1985,6,"04/06/1985",59,1.5312034351,NA,0.3829539791,NA,"Bad",0,NA,NA,"",4,96,NA,0.00119806,0.89038977,14,NA,NA,NA,NA,0.929592498836089,0.533651351335849,0.929592498836089
1985-04-07,"7-Apr","04/07/1985",1985,8,"04/07/1985",70,1.7567024442,NA,0.3214765473,NA,"Bad",0,NA,NA,"",4,97,NA,0.0010885,0.76252358,14,NA,NA,NA,NA,0.807551716736353,0.667331838178703,0.807551716736353
1985-04-08,"8-Apr","04/08/1985",1985,6,"04/08/1985",77,1.5312034351,NA,0.2148278419,NA,"Bad",4.17,NA,NA,"",4,98,NA,0.00091915,0.52117701,14,NA,NA,NA,NA,0.569129385525672,0.533651351335849,0.569129385525672
1985-04-09,"9-Apr","04/09/1985",1985,6,"04/09/1985",42,1.5312034351,NA,0.5417397753,NA,"Bad",0,NA,NA,"",4,99,NA,0.0015267,1.18647032,15,NA,NA,NA,NA,1.2000623470629,0.533651351335849,1.2000623470629
1985-04-10,"10-Apr","04/10/1985",1985,6,"04/10/1985",46,1.5312034351,NA,0.5043784115,NA,"Bad",0,NA,NA,"",4,100,NA,0.00144304,1.12097307,15,NA,NA,NA,NA,1.14174385245807,0.533651351335849,1.14174385245807
1985-04-11,"11-Apr","04/11/1985",1985,4,"04/11/1985",43,1.3316132548,NA,0.4630019287,NA,"Bad",0,NA,NA,"",4,101,NA,0.00135506,1.0455234,15,NA,NA,NA,NA,1.07348046109077,0.406950667848707,1.07348046109077
1985-04-12,"12-Apr","04/12/1985",1985,5,"04/12/1985",59,1.4283371052,NA,0.35722711,NA,"Bad",0,NA,NA,"",4,102,NA,0.00115109,0.83783558,15,NA,NA,NA,NA,0.879801629646158,0.469451769248613,0.879801629646158
1985-04-13,"13-Apr","04/13/1985",1985,8,"04/13/1985",64,1.7567024442,NA,0.3857718567,NA,"Bad",0,NA,NA,"",4,103,NA,0.0012033,0.89606434,15,NA,NA,NA,NA,0.934937484278036,0.667331838178703,0.934937484278036
1985-04-14,"14-Apr","04/14/1985",1985,5,"04/14/1985",58,1.4283371052,NA,0.3659399664,NA,"Bad",0,NA,NA,"",4,104,NA,0.00116681,0.8557856,15,NA,NA,NA,NA,0.89686626069663,0.469451769248613,0.89686626069663
1985-04-15,"15-Apr","04/15/1985",1985,5,"04/15/1985",58,1.4283371052,NA,0.3659399664,NA,"Bad",0,NA,NA,"",4,105,NA,0.00116681,0.8557856,15,NA,NA,NA,NA,0.89686626069663,0.469451769248613,0.89686626069663
1985-04-16,"16-Apr","04/16/1985",1985,7,"04/16/1985",59,1.640543366,NA,0.4102998958,NA,"Bad",0,NA,NA,"",4,106,NA,0.0012498,0.94478865,16,NA,NA,NA,NA,0.980578941927933,0.599595570683348,0.980578941927933
1985-04-17,"17-Apr","04/17/1985",1985,5,"04/17/1985",74,1.4283371052,NA,0.2265342649,NA,"Bad",1.31,NA,NA,"",4,107,NA,0.00093653,0.54894362,16,NA,NA,NA,NA,0.597080583459376,0.469451769248613,0.597080583459376
1985-04-18,"18-Apr","04/18/1985",1985,8,"04/18/1985",64,1.7567024442,NA,0.3857718567,NA,"Bad",0,NA,NA,"",4,108,NA,0.0012033,0.89606434,16,NA,NA,NA,NA,0.934937484278036,0.667331838178703,0.934937484278036
